t,s,alpha(t+s)-beta(s),alpha(t+s),beta(s),gamma_used
-12.62000000000005,-50.0,0,0,0,1
-12.610000000000051,-50.0,0,0,0,1
-12.600000000000051,-50.0,0,0,0,1
-12.590000000000051,-50.0,0,0,0,1
-12.580000000000052,-50.0,0,0,0,1
-12.570000000000052,-50.0,0,0,0,1
-12.560000000000052,-50.0,0,0,0,1
-12.550000000000052,-50.0,0,0,0,1
-12.540000000000052,-50.0,0,0,0,1
-12.530000000000053,-50.0,0,0,0,1
-12.520000000000053,-50.0,0,0,0,1
-12.510000000000053,-50.0,0,0,0,1
-12.500000000000053,-50.0,0,0,0,1
-12.490000000000054,-50.0,0,0,0,1
-12.480000000000054,-50.0,0,0,0,1
-12.470000000000054,-50.0,0,0,0,1
-12.460000000000054,-50.0,0,0,0,1
-12.450000000000054,-50.0,0,0,0,1
-12.440000000000055,-50.0,0,0,0,1
-12.430000000000055,-50.0,0,0,0,1
-12.420000000000055,-50.0,0,0,0,1
-12.410000000000055,-50.0,0,0,0,1
-12.400000000000055,-50.0,0,0,0,1
-12.390000000000056,-50.0,0,0,0,1
-12.380000000000056,-50.0,0,0,0,1
-12.370000000000056,-50.0,0,0,0,1
-12.360000000000056,-50.0,0,0,0,1
-12.350000000000056,-50.0,0,0,0,1
-12.340000000000057,-50.0,0,0,0,1
-12.330000000000057,-50.0,0,0,0,1
-12.320000000000057,-50.0,0,0,0,1
-12.310000000000057,-50.0,0,0,0,1
-12.300000000000058,-50.0,0,0,0,1
-12.290000000000058,-50.0,0,0,0,1
-12.280000000000058,-50.0,0,0,0,1
-12.270000000000058,-50.0,0,0,0,1
-12.260000000000058,-50.0,0,0,0,1
-12.250000000000059,-50.0,0,0,0,1
-12.240000000000059,-50.0,0,0,0,1
-12.230000000000059,-50.0,0,0,0,1
-12.22000000000006,-50.0,0,0,0,1
-12.21000000000006,-50.0,0,0,0,1
-12.20000000000006,-50.0,0,0,0,1
-12.19000000000006,-50.0,0,0,0,1
-12.18000000000006,-50.0,0,0,0,1
-12.17000000000006,-50.0,0,0,0,1
-12.16000000000006,-50.0,0,0,0,1
-12.15000000000006,-50.0,0,0,0,1
-12.140000000000061,-50.0,0,0,0,1
-12.130000000000061,-50.0,0,0,0,1
-12.120000000000061,-50.0,0,0,0,1
-12.110000000000062,-50.0,0,0,0,1
-12.100000000000062,-50.0,0,0,0,1
-12.090000000000062,-50.0,0,0,0,1
-12.080000000000062,-50.0,0,0,0,1
-12.070000000000062,-50.0,0,0,0,1
-12.060000000000063,-50.0,0,0,0,1
-12.050000000000063,-50.0,0,0,0,1
-12.040000000000063,-50.0,0,0,0,1
-12.030000000000063,-50.0,0,0,0,1
-12.020000000000064,-50.0,0,0,0,1
-12.010000000000064,-50.0,0,0,0,1
-12.000000000000064,-50.0,0,0,0,1
-11.990000000000064,-50.0,0,0,0,1
-11.980000000000064,-50.0,0,0,0,1
-11.970000000000065,-50.0,0,0,0,1
-11.960000000000065,-50.0,0,0,0,1
-11.950000000000065,-50.0,0,0,0,1
-11.940000000000065,-50.0,0,0,0,1
-11.930000000000065,-50.0,0,0,0,1
-11.920000000000066,-50.0,0,0,0,1
-11.910000000000066,-50.0,0,0,0,1
-11.900000000000066,-50.0,0,0,0,1
-11.890000000000066,-50.0,0,0,0,1
-11.880000000000067,-50.0,0,0,0,1
-11.870000000000067,-50.0,0,0,0,1
-11.860000000000067,-50.0,0,0,0,1
-11.850000000000067,-50.0,0,0,0,1
-11.840000000000067,-50.0,0,0,0,1
-11.830000000000068,-50.0,0,0,0,1
-11.820000000000068,-50.0,0,0,0,1
-11.810000000000068,-50.0,0,0,0,1
-11.800000000000068,-50.0,0,0,0,1
-11.790000000000068,-50.0,0,0,0,1
-11.780000000000069,-50.0,0,0,0,1
-11.770000000000069,-50.0,0,0,0,1
-11.760000000000069,-50.0,0,0,0,1
-11.75000000000007,-50.0,0,0,0,1
-11.74000000000007,-50.0,0,0,0,1
-11.73000000000007,-50.0,0,0,0,1
-11.72000000000007,-50.0,0,0,0,1
-11.71000000000007,-50.0,0,0,0,1
-11.70000000000007,-50.0,0,0,0,1
-11.69000000000007,-50.0,0,0,0,1
-11.68000000000007,-50.0,0,0,0,1
-11.670000000000071,-50.0,0,0,0,1
-11.660000000000071,-50.0,0,0,0,1
-11.650000000000071,-50.0,0,0,0,1
-11.640000000000072,-50.0,0,0,0,1
-11.630000000000072,-50.0,0,0,0,1
-11.620000000000072,-50.0,0,0,0,1
-11.610000000000072,-50.0,0,0,0,1
-11.600000000000072,-50.0,0,0,0,1
-11.590000000000073,-50.0,0,0,0,1
-11.580000000000073,-50.0,0,0,0,1
-11.570000000000073,-50.0,0,0,0,1
-11.560000000000073,-50.0,0,0,0,1
-11.550000000000074,-50.0,0,0,0,1
-11.540000000000074,-50.0,0,0,0,1
-11.530000000000074,-50.0,0,0,0,1
-11.520000000000074,-50.0,0,0,0,1
-11.510000000000074,-50.0,0,0,0,1
-11.500000000000075,-50.0,0,0,0,1
-11.490000000000075,-50.0,0,0,0,1
-11.480000000000075,-50.0,0,0,0,1
-11.470000000000075,-50.0,0,0,0,1
-11.460000000000075,-50.0,0,0,0,1
-11.450000000000076,-50.0,0,0,0,1
-11.440000000000076,-50.0,0,0,0,1
-11.430000000000076,-50.0,0,0,0,1
-11.420000000000076,-50.0,0,0,0,1
-11.410000000000077,-50.0,0,0,0,1
-11.400000000000077,-50.0,0,0,0,1
-11.390000000000077,-50.0,0,0,0,1
-11.380000000000077,-50.0,0,0,0,1
-11.370000000000077,-50.0,0,0,0,1
-11.360000000000078,-50.0,0,0,0,1
-11.350000000000078,-50.0,0,0,0,1
-11.340000000000078,-50.0,0,0,0,1
-11.330000000000078,-50.0,0,0,0,1
-11.320000000000078,-50.0,0,0,0,1
-11.310000000000079,-50.0,0,0,0,1
-11.300000000000079,-50.0,0,0,0,1
-11.290000000000079,-50.0,0,0,0,1
-11.28000000000008,-50.0,0,0,0,1
-11.27000000000008,-50.0,0,0,0,1
-11.26000000000008,-50.0,0,0,0,1
-11.25000000000008,-50.0,0,0,0,1
-11.24000000000008,-50.0,0,0,0,1
-11.23000000000008,-50.0,0,0,0,1
-11.22000000000008,-50.0,0,0,0,1
-11.21000000000008,-50.0,0,0,0,1
-11.200000000000081,-50.0,0,0,0,1
-11.190000000000081,-50.0,0,0,0,1
-11.180000000000081,-50.0,0,0,0,1
-11.170000000000082,-50.0,0,0,0,1
-11.160000000000082,-50.0,0,0,0,1
-11.150000000000082,-50.0,0,0,0,1
-11.140000000000082,-50.0,0,0,0,1
-11.130000000000082,-50.0,0,0,0,1
-11.120000000000083,-50.0,0,0,0,1
-11.110000000000083,-50.0,0,0,0,1
-11.100000000000083,-50.0,0,0,0,1
-11.090000000000083,-50.0,0,0,0,1
-11.080000000000084,-50.0,0,0,0,1
-11.070000000000084,-50.0,0,0,0,1
-11.060000000000084,-50.0,0,0,0,1
-11.050000000000084,-50.0,0,0,0,1
-11.040000000000084,-50.0,0,0,0,1
-11.030000000000085,-50.0,0,0,0,1
-11.020000000000085,-50.0,0,0,0,1
-11.010000000000085,-50.0,0,0,0,1
-11.000000000000085,-50.0,0,0,0,1
-10.990000000000085,-50.0,0,0,0,1
-10.980000000000086,-50.0,0,0,0,1
-10.970000000000086,-50.0,0,0,0,1
-10.960000000000086,-50.0,0,0,0,1
-10.950000000000086,-50.0,0,0,0,1
-10.940000000000087,-50.0,0,0,0,1
-10.930000000000087,-50.0,0,0,0,1
-10.920000000000087,-50.0,0,0,0,1
-10.910000000000087,-50.0,0,0,0,1
-10.900000000000087,-50.0,0,0,0,1
-10.890000000000088,-50.0,0,0,0,1
-10.880000000000088,-50.0,0,0,0,1
-10.870000000000088,-50.0,0,0,0,1
-10.860000000000088,-50.0,0,0,0,1
-10.850000000000088,-50.0,0,0,0,1
-10.840000000000089,-50.0,0,0,0,1
-10.830000000000089,-50.0,0,0,0,1
-10.820000000000089,-50.0,0,0,0,1
-10.81000000000009,-50.0,0,0,0,1
-10.80000000000009,-50.0,0,0,0,1
-10.79000000000009,-50.0,0,0,0,1
-10.78000000000009,-50.0,0,0,0,1
-10.77000000000009,-50.0,0,0,0,1
-10.76000000000009,-50.0,0,0,0,1
-10.75000000000009,-50.0,0,0,0,1
-10.74000000000009,-50.0,0,0,0,1
-10.730000000000091,-50.0,0,0,0,1
-10.720000000000091,-50.0,0,0,0,1
-10.710000000000091,-50.0,0,0,0,1
-10.700000000000092,-50.0,0,0,0,1
-10.690000000000092,-50.0,0,0,0,1
-10.680000000000092,-50.0,0,0,0,1
-10.670000000000092,-50.0,0,0,0,1
-10.660000000000093,-50.0,0,0,0,1
